id,Title,Content,"Publication Authors_publication_author_name","Publication Year",DOI,"Publication URLs","RDC List_id","Book Title","BibTex Type","Journal Name",Number,"Network Ref"
20244,"Social structures, agent personality and workers' mental health: A longitudinal analysis of the specific role of occupation and of workplace constraints-resources on psychological distress in the Canadian workforce",,"Alain Marchand,Andrée Demers,Pierre Durand",2006,,http://hum.sagepub.com/cgi/content/abstract/59/7/875,MTL,,ARTICLE,"Human Relations",7,article
20245,"La démographie de l'enfance: entre familles et résidences",,"Nicole Marcil-Gratton,Heather Juby,Céline Le Bourdais,Évelyne Lapierre-Adamcyk",2006,,https://www.erudit.org/livre/aidelf/2002/index.htm,MTL,"Enfants d'aujourd'hui. Diversité des contextes, pluralité des parcours, Actes du Colloque international de Dakar 2002",INBOOK,,11,bookchap
20246,"Postsecondary education in Canada: Returns to university, college and trades education",,"Daniel Boothby,Torben Drewes",2006,,http://economics.ca/cgi/jab?journal=cpp&article=v32n1p0001,UTO,,ARTICLE,"Canadian Public Policy",1,article
20247,"Men's life course trajectories: Exploring the differences by cohort and social class",,"Zenaida R. Ravanera,Thomas K. Burch,Femando Rajulton",2006,,http://www.tandfonline.com/doi/abs/10.1080/19485565.2006.9989122,UWO,,ARTICLE,"Social Biology",4-Mar,article
20248,"Influence du capital humain et du capital social sur les caractéristiques de l'emploi chez les diplômés postsecondaires au Canada",,"Pierre Canisius Kamanzi",2006,,http://www.collectionscanada.gc.ca,MTL,,MASTERSTHESIS,,,mastersthesis
20249,"Evaluation of Ontario's Healthy Babies, Healthy Children program",,"F. Eaton",2006,,,COOL,,TECHREPORT,"TNS Canadian Facts",,report
20250,"L'impact de la proposition conservatrice de réforme du financement des services de garde sur la pauvreté et l'inégalité au Québec",,"Mathieu Audet,Dorothee Boccanfuso,Paul Makdissi",2006,,,MTL,,ARTICLE,"Groupe de Recherche en Économie et Développement International (GREDI) Cahier de recherche",10-Jun,workpaper
20251,"Suicidality, depression and mental health service use in Canada",,"A. E. Rhodes,J. Bethell,S. J. Bondy",2006,,http://www.ncbi.nlm.nih.gov/pubmed/16491982,UTO,,ARTICLE,"Canadian Journal of Psychiatry",1,article
20252,"School completion and workforce transitions among urban Aboriginal youth",,"Paul S. Maxim,Jerry P. White",2006,,http://thompsonbooks.com/higher-ed/aboriginal-studies/aboriginal-policy-research-vol-3/,UWO,"Aboriginal Policy Research Volume III: Moving Forward, Making a Difference",INBOOK,,,bookchap
20253,"Participation, roles and contributions of seniors",,"J. Fast,M. Charchuk,N. Keating,D. Dosman,L. Moran",2006,,,UAB,,TECHREPORT,,,report
20254,"The evolution of male-female wages differentials in Canadian universities: 1970-2001",,"C. Warman,F. Woolley,C. Worswick",2006,,http://ideas.repec.org/p/qed/wpaper/1099.html,QUE,,ARTICLE,"Queen's Economics Department (QED) Working Paper",1099,workpaper
20255,"Retirement and productive activity in later life",,"Donna Dosman,Janet Fast,Sherry Anne Chapman,Norah Keating",2006,,http://link.springer.com/article/10.1007%2fs10834-006-9022-y,UAB,,ARTICLE,"Journal of Family and Economic Issues",3,article
20256,"Le contexte de l'indépendance résidentielle au Canada",,"Jean-Michel Billette,Céline Le Bourdais,Benoît Laplante",2006,,http://www.erudit.org/revue/cqd/2006/v35/n1/017750ar.html?vue=resume,"MTL,COOL",,ARTICLE,"Cahiers québécois de démographie",1,article
20257,"Secondary migration of immigrants to Canada: An analysis of LSIC wave 1 data",,"Bruce Newbold",2006,,http://socserv.mcmaster.ca/rdc/wptitles.htm,MCM,,ARTICLE,"McMaster RDC Research Paper",10,workpaper
20258,"The relationship between peer harassment and academic achievement in Canadian adolescents: A study of related individual, parent and teacher factors",,"J. Gaber",2006,,,PRC,,MASTERSTHESIS,,,mastersthesis
20259,"L'impact sur le développement cognitif des enfants âgés de 4 et 5 ans de la politique de garde à 5$ du Québec",,"Matthieu Verstraete",2006,,,MTL,,MASTERSTHESIS,,,mastersthesis
20260,"Unionization and plant closures in Canada",,"T. Fang,J. S. Heywood",2006,,http://www.jstor.org/pss/4121799,UTO,,ARTICLE,"Canadian Journal of Economics",4,article
20261,"Self-selection in migration and returns to skills",,"Benoît Dostie,Pierre Thomas Léger",2006,,http://ideas.repec.org/p/lvl/lacicr/0612.html,MTL,,ARTICLE,"Centre interuniversitaire sur le risque, les politiques économiques et l'emploi (CIRPÉE) Working Paper",12-Jun,workpaper
20262,"Le gradient santé / revenu familial des nouveau-nés québécois de 1998 après quatre ans: Faible ou inexistant?",,"Pierre Lefebvre",2006,,http://www.erudit.org/revue/ae/2006/v82/n4/016404ar.html?vue=resume,MTL,,ARTICLE,"L'actualité économique: Revue d'analyse économique",4,article
20263,"Community survey of bipolar disorder in Canada: Lifetime prevalence and gender differences",,"A. Schaffer,J. Cairney,A. Cheung,S. Veldhuizen,A. J. Levitt",2006,,,UTO,,ARTICLE,"Canadian Journal of Psychiatry",1,article
20264,"Une nouvelle étape de la vie familiale: La naissance d'un enfant en famille recomposée",,"Heather Juby,Nicole Marcil-Gratton,Céline Le Bourdais,Paul-Marie Huot",2006,,http://www5.statcan.gc.ca/olc-cel/olc.action?ObjId=91-209-X20000005750&ObjType=47&lang=fr,MTL,,TECHREPORT,"Rapport sur l'état de la population du Canada 2000",91-209-XIE,report
20265,"Survival analysis based on the proportional hazards model and survey data",,"Christian Boudreau,Jerald Lawless",2006,,http://onlinelibrary.wiley.com/doi/10.1002/cjs.5550340202/abstract,SWO,,ARTICLE,"Canadian Journal of Statistics",2,article
20266,"Single parenthood and labour force participation: The effect of social policies",,"Nancy Meilleur,Évelyne Lapierre-Adamcyk",2006,,,MTL,"Family Transformation, Social Cohesion, and Social Capital",INBOOK,,,bookchap
20267,"Avoiding poverty: The role of labour-force continuity during the transition to single motherhood at separation",,"Heather Juby,Céline Le Bourdais,Nicole Marcil-Gratton",2006,,https://booksnow1.scholarsportal.info/viewdoc.html?id=24671,MTL,,ARTICLE,"Policy Research Initiative Working Paper Series",WP015,workpaper
20268,"Normative groups: Religion and language as structural determinants of the choice between marriage and common-law union in Quebec and Ontario, 1937-2001",,"B. Laplante",2006,,http://paa2006.princeton.edu/abstracts/61121,MTL,,ARTICLE,"Princeton University PAA 2006 Annual Meeting",,workpaper
20269,"La participation sociale des personnes handicapées au Québec: principaux constats",,"Lucie Dugas,Isabelle Émond,Christian Guay,Nathalie St-Laurent,Valérie Vanasse",2006,,,MTL,,TECHREPORT,,,report
20270,"Housing, neighbourhoods and development outcomes of children in Canada",,"L. G. Gagné,A. Ferrer",2006,,http://economics.ca/cgi/jab?journal=cpp&article=v32n3p0275,BCI,,ARTICLE,"Canadian Public Policy",3,article
20271,"The epidemiology of psychological problems of the elderly",,"D. L. Streiner,J. Cairney,S. Veldhuizen",2006,,http://proquest.umi.com/pqdweb?index=0&did=1015989371&srchmode=1&sid=3&fmt=2&vinst=prod&vtype=pqd&rqt=309&vname=pqd&ts=1251997518&clientid=12520,UTO,,ARTICLE,"Canadian Journal of Psychiatry",3,article
20272,"The labour market situation of highly skilled immigrants in Canada's hi-tech clusters",,"Peter Hall",2006,,,SWO,,TECHREPORT,,,report
20273,"Long-term unemployment in Canada: A labour market transitions analysis",,"Axel van den Berg,Claus-Henning von Restorff,D. Parent,Anthony Masi",2006,,,MTL,,ARTICLE,"Socio-Economic Review",,article
20274,"Ageing, disability and workplace accommodations",,"Julie-Ann McMullin,Kim M. Shuey",2006,,,"UWO,SWO",,ARTICLE,"Ageing and Society",6,article
20275,"Long-run consequences of parental paid work hours for child overweight status in Canada",,"Shelley A. Phipps,Lynn Lethbridge,Peter S. Burton",2006,,http://resolver.scholarsportal.info.myaccess.library.utoronto.ca/resolve/02779536/v62i0004/977_lcoppwfcosic,DAL,,ARTICLE,"Social Science and Medicine",4,article
20276,"Maternal employment and pre-school children's behavioural and cognitive outcomes: The Canadian experience",,"K. Nomaguchi",2006,,http://proquest.umi.com/pqdweb?did=1184540161&sid=2&fmt=2&clientid=12520&rqt=309&vname=pqd,PRC,,ARTICLE,"Journal of Marriage and Family",5,article
20277,"Longitudinal study of postpartum depression, maternal-child relationships, and children's behaviour at 8 years of age",,"J. D. Willms,N. Letourneau,C. B. Fedick,C.-L. Dennis,K. Hegadoren,Jennifer M. Stewart",2006,,,UNB,"Parent-Child Relations: New Research",INBOOK,,,bookchap
20278,"Neighbourhood characteristics, individual and household attributes and health perception among elderly Canadians",,"D. Walter Rasugu Omariba",2006,,http://ir.lib.uwo.ca/pscpapers/vol20/iss1/1,"UTO,MCM,UWO,BCI",,ARTICLE,"Population Studies Centre (PSC) Discussion Papers Series",1-Jun,workpaper
20279,"Reduced risk of physician-diagnosed asthma among children dwelling in a farming environment",,"W. Midodzi,B. Rowe,C. Majaesic,A. Senthilselvan",2007,,,UAB,,ARTICLE,Respirology,,article
20280,"Beyond adolescence: Exploring Canadian women and men's perception of overweight",,"E. Gucciardi,S. C. Wang,T. Badiani,D. E. Stewart",2007,,http://www.whijournal.com/article/s1049-3867%2807%2900105-3/abstract,UTO,,ARTICLE,"Women's Health Issues",6,article
20281,"Psychological Distress at Work: What are the causes?",,"A. Marchand",2007,,,MTL,,ARTICLE,Mammoth-Magazine,7-May,article
20282,"Marital status decisions and Canadian social assistance policy",,"Emily Hanna",2007,,http://sunzi.lib.hku.hk/er/detail/hkul/4739416,UTO,,PHDTHESIS,,,phdthesis
20283,"Geographical variation in the prevalence of problematic substance use in Canada",,,2007,,,,,ARTICLE,"The Canadian Journal of Psychiatry",7,article
20284,"Sex differences in physical and indirect aggression: A developmental perspective",,,2007,,http://proquest.umi.com/pqdweb?index=0&did=1228549001&srchmode=1&sid=5&fmt=2&vinst=prod&vtype=pqd&rqt=309&vname=pqd&ts=1252087577&clientid=12520,,,ARTICLE,"European Journal of Criminal Policy and Research",3,article
20285,"Epidemiology of social phobia in later life",,"J. Cairney,L. McCabe,S. Veldhuizen,L. M. Corna,D. Streiner,N. Herrman",2007,,http://www.ncbi.nlm.nih.gov/pubmed/17213375,UTO,,ARTICLE,"American Journal of Geriatric Psychiatry",3,article
20286,"New evidence on the determinants of absenteeism using linked employer-employee data",,"Georges Dionne,Benoît Dostie",2007,,http://www.ilr.cornell.edu/widgets/bibliography/displayabstractpopup.cfm?id=13516&siteuri=/ilrreview,MTL,,ARTICLE,"Industrial and Labor Relations Review",1,article
20287,"A growth curve analysis of the joint influences of parenting affect, child impulsivity and deviant peer affiliations on adolescent illicit drug use",,"P. R. Pires,J. M. Jenkins",2007,,http://www.springerlink.com/content/v1w564603t267155/,UTO,,ARTICLE,"Journal of Youth and Adolescence",2,article
20288,"Secondary migration of immigrants to Canada: An analysis of LSIC wave 1 data",,"Bruce Newbold",2007,,http://www3.interscience.wiley.com/journal/118517904/abstract,MCM,,ARTICLE,"The Canadian Geographer / Le Géographe canadien",1,article
20289,"Looking for private information in self-assessed health",,"J. Banks,Thomas F. Crossley,Simo Goshev",2007,,http://econpapers.repec.org/paper/mcmsedapp/219.htm,MCM,,ARTICLE,"Social and Economic Dimensions of an Aging Population (SEDAP) Research Papers",219,workpaper
20290,"Equity in pharmaceutical utilization in Ontario: A cross section and over time analysis",,"Hai Zhong",2007,,http://www.utpjournals.press/doi/abs/10.3138/cpp.33.4.487,MCM,,ARTICLE,"Canadian Public Policy",4,article
20291,"Primary and preventative health care utilization among immigrant and native-born women in Canada",,"Kelly Woltman",2007,,https://macsphere.mcmaster.ca/handle/11375/10628,MCM,,MASTERSTHESIS,,,mastersthesis
20292,"Self-reported glaucoma in Canada: Findings from population-based surveys",,"A. V. Perruccio,Elizabeth M. Badley,G. E. Trope",2007,,http://www.ncbi.nlm.nih.gov/pubmed/17392843,UTO,,ARTICLE,"Canadian Journal of Ophthalmology",,article
20293,"Gender, income and immigration differences in depression in Canadian urban centres",,"K. L. W. Smith,F. I. Matheson,R. Moineddin,R. H. Glazier",2007,,http://proquest.umi.com/pqdweb?index=9&did=1252825611&srchmode=3&sid=1&fmt=2&vinst=prod&vtype=pqd&rqt=309&vname=pqd&ts=1251994135&clientid=12520&aid=1,UTO,,ARTICLE,"Canadian Journal of Public Health",2,article
20294,"Health, pensions, and the retirement decision: evidence from Canada",,"Tammy Schirle",2007,,http://econpapers.repec.org/repec:wlu:wpaper:eg0046,"SWO,BCI",,ARTICLE,"Wilfred Laurier Department of Economics Working Paper Series","2007-02 EC",workpaper
20295,"Work disability absences among young workers with respect to earnings losses in the following year",,"F. C. Breslin,E. Tompa,R. Zhao,B. C. Amick,J. D. Pole,P. Smith,S. Hogg-Johnson",2007,,http://www.sjweh.fi/show_abstract.php?abstract_id=1126,UTO,,ARTICLE,"Scandinavian Journal of Work, Environment and Health",3,article
20296,"Chronic obstructive lung diseases and prevalence of mood, anxiety and substance-use disorders in a large population sample",,"S. B. Patten,J. V. A. Williams",2007,,http://www.psychosomaticsjournal.com/article/s0033-3182%2807%2970986-6/abstract,PRC,,ARTICLE,Psychosomatics,6,article
20297,"The role of maternal education and non-maternal care services in the prevention of children's physical aggression problems",,"Sylvana Côté,Michel Boivin,D. S. Nagin,Christa Japel,Q. Xu,Mark Zoccolillo,M. Junger,Richard E. Tremblay",2007,,http://archpsyc.ama-assn.org/cgi/content/abstract/64/11/1305,MTL,,ARTICLE,"Archives of General Psychiatry",11,article
20298,"The legacy of immigration: Labour market performance and education in the second generation",,"Derek Hum,Wayne Simpson",2007,,http://www.ingentaconnect.com/content/routledg/raef/2007/00000039/00000015/art00009,WIN,,ARTICLE,"Applied Economics",15,article
20299,"Une étude empirique de la délinquance juvénile au Canada",,"Julie Rizi",2007,,,MTL,,MASTERSTHESIS,,,mastersthesis
20300,"The effects of pubertal timing and school transition on preadolescents' well-being",,"Tim Seifert,Henry Schulz",2007,,http://cjs.sagepub.com/content/22/2/219.short,SWO,,ARTICLE,"Canadian Journal of School Psychology",2,article
20301,"The case of Montreal's missing food deserts: evaluation of accessibility to food supermarkets",,"Philippe Apparicio,Marie-Soleil Cloutier,Richard Shearmur",2007,,,MTL,,ARTICLE,"International Journal of Health Geographics",4,article
20302,"Salaires, productivité et vieillissement de la population active",,"Benoît Dostie",2007,,http://publications.gc.ca/collections/collection_2011/ic/iu182-2-2006-a-09-fra.pdf,MTL,,ARTICLE,"Skills Research Initiative Working Paper Series","2006 A-09",workpaper
20303,"L'innovation du travail et le vieillissement de la main-d'oeuvre dans l'administration publique",,"Denis Harrisson",2007,,,MTL,"D'une culture de retraite vers un nouveau management des âges et des temps sociaux, Études d'économie politique",INBOOK,,,bookchap
20304,"Family structures and children's behavioural problems: A longitudinal analysis",,"D. Kerr,J. Michalski",2007,,,UWO,,ARTICLE,"Canadian Journal of Sociology",1,article
20305,"Immigrant women and cervical cancer screening uptake: A multilevel analysis",,"Kelly Woltman,Bruce Newbold",2007,,http://journal.cpha.ca/index.php/cjph/issue/view/206,MCM,,ARTICLE,"Canadian Journal of Public Health",6,article
20306,"A multi-perspective approach for defining neighbourhood units in the context of a study on health inequalities in the Quebec City region",,"Alexandre Lebel,Robert Pampalon,P. Villeneuve",2007,,,MTL,,ARTICLE,"International Journal of Health Geographics",27,article
20307,"Maternal and paternal depressive symptoms and child maladjustment: The mediating role of parental behavior",,"Frank J. Elgar,Rosemary S. L. Mills,Patrick J. McGrath,Daniel A. Waschbusch,Douglas A. Brownridge",2007,,http://www.springerlink.com/content/91x837g72j4g3231/,"COOL,WIN",,ARTICLE,"Journal of Abnormal Child Psychology",6,article
20308,"L'effet de l'horaire de travail par quarts rotatifs sur la détresse psychologique: Une étude longitudinale",,"Julie Fournier",2007,,http://hdl.handle.net/1866/1556,MTL,,MASTERSTHESIS,,,mastersthesis
20309,"Educational attainment on Canada: Effects of individual attributes and expected outcomes",,"Jörgen Hansen,Christian Belzil",2007,,,MTL,,TECHREPORT,,,report
20310,"Working schedules: In search of a balance between family time and economic wellbeing",,"Évelyne Lapierre-Adamcyk,Nicole Marcil-Gratton,Céline Le Bourdais",2007,,http://link.springer.com/book/10.1007%2F978-1-4020-5973-5,MTL,"Ages, generations and the social contract: The demographic challenges facing the welfare state",INBOOK,,,bookchap
20311,"Les liens entre l'espace résidentiel et l'espace de production",,"Mathieu Charron",2007,,,MTL,,PHDTHESIS,,,phdthesis
20312,"Connaissance, utilisation et perception des interventions en arrêt tabagique chez les fumeurs québécois",,"S. Kairouz,A. Montreuil,I. Poulin,Y. Payette,Denis Hamel,M. Tremblay",2007,,,MTL,,TECHREPORT,,,report
20313,"Lower incidence of asthma among Canadian children living in a farming environment",,"W. Midodzi",2007,,,,,ARTICLE,"Journal of Epidemiology",,article
20314,"Mental health service use among adolescents and young adults with major depressive disorder and suicidality",,"A. H. Cheung,C. S. Dewa",2007,,http://www.ncbi.nlm.nih.gov/pubmed/17500303,UTO,,ARTICLE,"Canadian Journal of Psychiatry",4,article
20315,"Challenging the presumption of diminished capacity to parent: Does divorce really change parenting practices?",,"L. Strohschein",2007,,,UAB,,ARTICLE,"Family Relations",4,article
20316,"Longitudinal study of social-environmental predictors of behavior: Children of adolescent and older mothers compared",,"N. Letourneau,C. Fedick,J. D. Willms,M. Steward,K. White",2007,,http://www.doaj.org/doaj?func=abstract&id=248345&recno=1&toc=1,UNB,,ARTICLE,"Canadian Studies in Population",1,article
20317,"L'impact des réseaux sociaux sur l'entrée en emploi des immigrants récents au Canada",,"Robert Jean",2007,,,MTL,,MASTERSTHESIS,,,mastersthesis
20318,"The heaviness of smoking index as a predictor of smoking cessation in Canada",,"M. Chaiton,S. Bondy,P. C. Mcdonald",2007,,http://www.ncbi.nlm.nih.gov/pubmed/16930848,,,ARTICLE,"Addictive Behaviors",5,article
20319,"Gender differences in the prevalence of physical aggression: A prospective population-based survey of children before and after two years of age",,"Raymond H. Baillargeon,K. Keenan,Sylvana Côté,Michel Boivin,Mark Zoccolillo,D. Pérusse,Hong Xing Wu",2007,,http://www.eric.ed.gov/ericwebportal/custom/portlets/recorddetails/detailmini.jsp?_nfpb=true&_&ericextsearch_searchvalue_0=ej750541&ericextsearch_searchtype_0=no&accno=ej750541,MTL,,ARTICLE,"Developmental Psychology",1,article
20320,"Regional variation in childhood injury: Exploring the concept of 'place' as risk factor for injury",,"Heather L. White",2007,,,UTO,,MASTERSTHESIS,,,mastersthesis
20321,"Self-care dimensions of complementary and alternative medicine use among older adults",,"Kristine Votova,Andrew V. Wister",2007,,,BCI,,ARTICLE,Gerontology,,article
20322,"Family and hyperactivity among elementary aged children",,CRDCN,2007,,https://crdcn.org/list-crdcn-publications,"CRDCN,UWO",,STANDARD,"RDC@Western Research Highlight",1-Jan,highlight
20323,"Mental health treatment seeking by military members with posttraumatic stress disorder: finings on rates, characteristics, and predictors from a nationally representative Canadian military sample",,"Deniz Fikretoglu,Alain Brunet,Stéphane Guay,David Pedlar",2007,,http://publications.cpa-apc.org/media.php?mid=323,"UTO,MTL",,ARTICLE,"Canadian Journal of Psychiatry",2,article
20324,"Changes in economic status and timing of marriage of young Canadians",,"Zenaida R. Ravanera,Rajulton Fernando",2007,,https://ejournals.library.ualberta.ca/index.php/csp/article/view/15966,UWO,,ARTICLE,"Canadian Studies in Population",1,article
20325,"Autonomous, controlled and amotivated types of academic motivation: A person-oriented analysis",,"Catherine Ratelle,Frédéric Guay,Robert Vallerand,Simon Larose,Caroline Senécal",2007,,,MTL,,ARTICLE,"Journal of Educational Psychology",4,article
20326,"Onward emigration to the United States by Canadian immigrants between 1995 and 2000",,"K. King,K. B. Newbold",2007,,http://www3.interscience.wiley.com/journal/117987337/abstract,MCM,,ARTICLE,"International Migration Review",4,article
20327,"The joint development of physical and indirect aggression: Predictors of continuity and change during childhood",,"Sylvana Côté,Tracy Vaillancourt,Edward D. Barker,Daniel Nagin,Richard E. Tremblay",2007,,http://proquest.umi.com/pqdweb?index=0&did=1228549001&srchmode=1&sid=5&fmt=2&vinst=prod&vtype=pqd&rqt=309&vname=pqd&ts=1252087577&clientid=12520,MTL,,ARTICLE,"Development and Psychopathology",1,article
20328,"Predictors of motor vehicle collision injuries among a nationally representative sample of Canadians",,"Evelyn Vingilis,Piotr Wilk",2007,,http://www.informaworld.com/smpp/content~db=all~content=a784415147,"UTO,UWO",,ARTICLE,"Traffic Injury Prevention",4,article
20329,"Non-agricultural work injuries among youth: A systematic review",,"F. C. Breslin,D. Day,E. Tompa,E. Irvin,S. Bhattacharyya,J. Clarke,A. Wang,M. Koehoorn",2007,,,UTO,,ARTICLE,"American Journal of Preventive Medicine",2,article
20330,"Digital divides and capital conversion: The optimal use of information and communication technology for youth reading achievement",,"Victor Thiessen,E. Dianne Looker",2007,,,DAL,,ARTICLE,"Information, Communication and Society",2,article
20331,"Les déterminants de la consommation de médicaments au Canada",,"Dominick Latrémouille-Viau",2007,,,MTL,,MASTERSTHESIS,,,mastersthesis
20332,"Rational reconstructions of society",,"Arnout van de Rijt",2007,,http://proquest.umi.com/pqdweb?did=1404347861&sid=2&fmt=2&clientid=48948&rqt=309&vname=pqd,MTL,,PHDTHESIS,,,phdthesis
20333,"Age differences in the prevalence of physical aggression among 5-11-year-old Canadian boys and girls",,"K.-H. Lee,Raymond H. Baillargeon,J. K. Vermunt,Hong Xing Wu,Richard E. Tremblay",2007,,http://www3.interscience.wiley.com/journal/113512285/abstract,MTL,,ARTICLE,"Aggressive Behavior",1,article
20334,"Access to post-secondary education for student parents: final report",,"D. Lero,T. Smit Quosai,T. Van Rhijn",2007,,,SWO,,TECHREPORT,,,report
20335,"Racial inequality, social cohesion, and policy issues in Canada",,"Jeffrey G. Reitz,Rupa Banerjee",2007,,http://mqup.mcgill.ca/book.php?bookid=2057,UTO,"Belonging? Diversity, Recognition and Shared Citizenship in Canada",INBOOK,,,bookchap
20336,"An examination of the prevalence and correlates of chronic major depression in the Canadian Community Health Survey",,"Satyendra Satyanarayana",2007,,http://hdl.handle.net/1993/21000,WIN,,MASTERSTHESIS,,,mastersthesis
20337,"Short-term spatial changes to Toronto's immigrant community",,"Bruce Newbold,P. DeLuca",2007,,,MCM,,ARTICLE,"Urban Geography",7,article
20338,"Les gradients socioéconomiques et la détresse psychologique: un aperçu des inégalités sociales en santé mentale au Québec",,"Jose Perez",2007,,,MTL,,MASTERSTHESIS,,,mastersthesis
20339,"Educational and psychological effects of childhood chronic illnesses",,"Y. J. Martinez",2007,,,BCI,,PHDTHESIS,,,phdthesis
20340,"Décrochage et retard scolaires: Caracteristiques des eleves a l'age de 15 ans",,"Valérie Saysset,Lise Giroux,Eve-Marie Castonguay",2007,,,MTL,,TECHREPORT,,,report
20341,"The study of the obesogenicity of Canadian communities using GIS",,"R. M. Szyngiel",2007,,,UTO,,MASTERSTHESIS,,,mastersthesis
20342,"Can we say whether the Canada Millennium Scholarship bursaries have affected post-secondary enrolments?",,"Christine Neill",2007,,http://publications.gc.ca/site/eng/324825/publication.html,SWO,,TECHREPORT,,,report
20343,"The relative impact of thirteen chronic conditions across three different outcomes",,"Anthony V. Perruccio,J. Denise Power,Elizabeth M. Badley",2007,,http://www.ncbi.nlm.nih.gov/pubmed/18000127,,,ARTICLE,"Journal of Epidemiology and Community Health",12,article
20344,"The development of youth violence: An old story with new data",,"Richard E. Tremblay",2007,,http://link.springer.com/article/10.1007/s10610-007-9050-7,,,ARTICLE,"European Journal on Criminal Policy and Research",3,article
20345,"L'abus d'alcool chez les travailleurs canadiens: le rôle de la profession, du secteur économique et du genre",,"Martin Charbonneau",2007,,https://papyrus.bib.umontreal.ca/jspui/bitstream/1866/1981/1/a1.4g480.pdf,,,MASTERSTHESIS,,,mastersthesis
20346,"Fumer et cesser de fumer au Canada: Évolution des pratiques sociales et de leurs disparités",,,2007,,,MTL,,PHDTHESIS,,,phdthesis
20347,"Comparison of antidepressant use in a community sample of bipolar and major depressive disorder subjects with or without comorbid anxiety",,"A. Schaffer,J. Cairney,S. Veldhuizen,A. Cheung,A. Levitt",2007,,,UTO,,ARTICLE,"Journal of Clinical Psychiatry",11,article
20348,"Major depressive episodes and work stress: Results from a national population survey",,"E. R. Blackmore,A. Stansfeld,I. Weller,S. Munce,B. M. Zagorski,D. E. Stewart",2007,,http://www.ncbi.nlm.nih.gov/pubmed/17901431,UTO,,ARTICLE,"American Journal of Public Health",,article
20349,"The state of research on social inequalities in health: building on successes to tackle the next challenges. Special issue on social inequalities in health",,"Amélie Quesnel-Vallée",2007,,,MTL,,ARTICLE,"Revue d'Épidémiologie et de Santé Publique",2-Jan,article
20350,"Contexte et conséquences de la violence conjugale envers les hommes et les femmes au Canada en 2004",,"Denis Laroche",2007,,,MTL,,TECHREPORT,,,report
20351,"A developmental perspective on sex differences in aggressive behaviours",,"Sylvana Côté",2007,,,MTL,"The Development of behavior problems",INBOOK,,,bookchap
20352,"Self-reported allergies and mental disorder prevalence in the general population",,"S. B. Patten,J. V. A. Williams",2007,,,PRC,,ARTICLE,"International Journal of Psychiatry in Medicine",1,article
20353,"Dominance among unfamiliar peers starts in infancy",,"Pierrich Plusquellec,Nathe François,Michel Boivin,Daniel Pérusse,Richard E. Tremblay",2007,,http://onlinelibrary.wiley.com/doi/10.1002/imhj.20139/abstract,MTL,,ARTICLE,"Infant Mental Health Journal",3,article
20354,"The inter-relationship of temporally distinct risk markers and the transition from childhood physical aggression to adolescent violent delinquency",,"D. S. Nagin,E. D. Barker,Éric Lacourse,Richard E. Tremblay",2007,,,MTL,"Applied Data Analytic Techniques for turning Points Research",INBOOK,,,bookchap
20355,"New data sheds light on remittance sending patterns of immigrants in Canada",,"Per Unheim",2007,,,COOL,,ARTICLE,"Focal Point",2,article
20356,"Education level, income level and self-reported barriers to mental health service use",,"L. S. Steele,C. S. Dewa,K. Lee",2007,,,UTO,,ARTICLE,"Canadian Journal of Psychiatry",3,article
20357,"Creation of human capital in disadvantaged children",,"L. DeBlois,J. M. Deniger,M. Rousseau",2007,,,MTL,,TECHREPORT,,,report
20358,"Human resources planning and the production of health: An extended analytical framework for needs-based health human resources planning",,"S. Birch,G. Kephart,G. T. Murphy,L. O'Brien-Pallas,R. Alder,A. MacKenzie",2007,,http://www.jstor.org/pss/30032501,UTO,,ARTICLE,"Canadian Public Policy",,article
20359,"Depressed mood in the suicidal population",,"J. Bethell,A. E. Rhodes",2007,,http://www.ices.on.ca/webpage.cfm?site_id=1&org_id=77&item_id=4463&morg_id=0&gsec_id=4463,UTO,,ARTICLE,"Canadian Journal of Psychiatry",11,article
20360,"Le partenariat patronal-syndical et la gestion des conflits: les rôles clés des représentants",,"Mario Roy,Denis Harrisson,Victor Y. Haines",2007,,http://revuegestion.ca/articles/view/id/1529,MTL,,ARTICLE,"Gestion, Revue internationale de gestion",4,article
20361,"Is boys' physical activity in childhood associated with being overweight in mid-adulthood? A longitudinal study spanning 35 years",,"L. B. Sherar,R. L. Mirwald,M. C. Erlandson,A. D. G. Baxter-Jones",2007,,http://www.doaj.org/doaj?func=abstract&id=248349&recno=5&toc=1,UNB,,ARTICLE,"Canadian Studies in Population",1,article
20362,"Learning among lower-wage and at-risk workers: The role of personal, organizational, and social resources",,"Anil Verma,Sara Mann",2007,,http://cjsae.library.dal.ca/index.php/cjsae/article/view/1111,UTO,,ARTICLE,"Canadian Journal for the Study of Adult Education",2,article
20363,"Assessment of physical etiologies for mood and anxiety disorders in structured diagnostic interviews",,"S. B. Patten,J. V. A. Williams",2007,,,PRC,,ARTICLE,"Social Psychiatry and Psychiatric Epidemiology",16,article
20364,"Returns to university level education: Variations within disciplines, occupations and employment sectors",,"Jörgen Hansen",2007,,,MTL,,TECHREPORT,,,report
20365,"Mental health policy and service delivery in Canada: Issues in policy reform, access to care and use of mental health providers",,"Gillian Mulvale",2007,,http://en.scientificcommons.org/34153974,MCM,,PHDTHESIS,,,phdthesis
